,structure_type_id,structure_type
0,0,Gewässer
1,1,Blockbebauung der Gründerzeit mit Seitenflügeln und Hinterhäusern
2,2,Blockrandbebauung der Gründerzeit mit geringem Anteil von Seiten- und Hintergebäuden
3,3,Blockrandbebauung der Gründerzeit mit massiven Veränderungen
4,4,Blockrand- und Zeilenbebauung der 1920er und 1930er Jahre
5,5,Zeilenbebauung seit den 1950er Jahren
6,6,Hohe Bebauung der Nachkriegszeit
7,8,Siedlungsbebauung der 1990er Jahre und jünger
8,10,Niedrige Bebauung mit Hausgärten
9,11,Villenbebauung mit parkartigen Gärten
10,12,Bebauung mit Gärten und halbprivater Umgrünung
11,13,Dörfliche Bebauung
12,14,Bebauung mit überwiegender Nutzung durch Handel und Dienstleistung
13,15,Geringe Bebauung mit überwiegender Nutzung durch Gewerbe und Industrie
14,16,Dichte Bebauung mit überwiegender Nutzung durch Gewerbe und Industrie
15,17,"Bebauung mit überwiegender Nutzung durch Gemeinbedarf und Sondernutzung, Baustelle oder Verkehrsfläche ohne Straßenland"
16,18,Nicht oder gering bebaute Fläche der Gemeinbedarfs- und Sondernutzung sowie Grün- und Freifläche
