,land_use_id,land_use
0,10,Wohnnutzung
1,21,Mischnutzung
2,30,Kerngebietsnutzung
3,40,"Gewerbe- und Industrienutzung, großflächiger Einzelhandel"
4,50,Gemeinbedarfs- und Sondernutzung
5,60,Ver- und Entsorgung
6,70,Wochenendhaus- und kleingartenähnliche Nutzung
7,80,Verkehrsfläche (ohne Straßen)
8,90,Baustelle
9,100,Wald
10,110,Gewässer
11,121,Grünland
12,122,Ackerland
13,130,Park / Grünfläche
14,140,Stadtplatz / Promenade
15,150,Friedhof
16,160,Kleingartenanlage
17,171,"Brachfläche, vegetationsfrei"
18,172,"Brachfläche, wiesenartiger Vegetationsbestand"
19,173,"Brachfläche, Mischbestand aus Wiesen, Gebüschen und Bäumen"
20,200,Baumschule / Gartenbau
